student,overall_placement_scale_score,scale_score,no_number_and_operations,alg_algebra_and_algebraic_thinking,ms_measurement_and_data,geo_geometry,typical_growth,stretch_growth,diagnostic_date,attendance_rate,tardies_ytd,behavior_incidents_ytd,positive_behavior_points,engagement_rating_1_5,at_risk_behavior_flag
"MARTIN, Luke",Early K (329),329,Early K,Emerging K,Emerging K,Emerging K,24,44,06/14/26,90.8,10,0,26,5,No
"PHILLIPS, Maya",Grade 5 (560),560,Grade 4,Grade 6,Grade 7,Grade 6,37,56,04/12/26,95.7,9,0,31,5,No
"KING, Samuel",Mid K (373),373,Emerging Grade 1,Mid K,Emerging K,Emerging K,38,58,06/12/26,92.4,12,2,9,4,No
"CONTRERAS, Skylar",Emerging Grade 1 (403),403,Mid Grade 1,Mid Grade 1,Mid K,Late K,35,42,06/21/26,87.2,8,1,21,4,No
"ROBINSON, Sofia",Emerging Grade 1 (416),416,Mid Grade 1,Emerging Grade 1,Early Grade 1,Emerging Grade 1,45,59,03/06/26,97.6,10,2,46,5,No
"SANCHEZ, Aria",Mid Grade 1 (459),459,Early Grade 1,Grade 2,Emerging Grade 1,Mid Grade 1,45,50,03/16/26,95.3,10,3,17,3,Yes
"CONTRERAS, Joshua",Mid K (364),364,Emerging K,Emerging K,Emerging Grade 1,Early K,38,47,06/15/26,88.5,11,2,15,4,No
"LOPEZ, Skylar",Late K (383),383,Mid K,Early Grade 1,Mid K,Emerging Grade 1,44,62,04/08/26,87.8,5,0,36,4,No
"PEREZ, Julian",Mid Grade 1 (444),444,Emerging Grade 1,Early Grade 1,Late Grade 1,Late Grade 1,35,49,04/24/26,98.6,6,0,43,4,No
"AGUILAR, Dylan",Early K (348),348,Emerging K,Mid K,Late K,Late K,41,56,05/22/26,90.5,10,1,22,5,No
"EVANS, Aurora",Grade 5 (549),549,Grade 5,Grade 5,Grade 5,Grade 3,28,45,04/25/26,94.2,4,1,49,3,No
"NELSON, David",Emerging K (102),102,Emerging K,Emerging K,Early K,Emerging K,36,44,06/15/26,85.7,14,0,2,1,No
"SANCHEZ, Mia",Grade 5 (547),547,Grade 7,Grade 3,Grade 3,Grade 3,39,48,04/22/26,95.6,2,1,11,5,No
"JIMENEZ, Maya",Mid K (370),370,Emerging K,Late K,Mid K,Late K,42,57,03/06/26,90.3,7,0,24,3,No
"AGUILAR, Ava",Grade 6 (569),569,Grade 5,Grade 7,Grade 4,Grade 7,26,43,02/21/26,94.1,6,1,13,4,No
"WHITE, Amelia",Late Grade 1 (464),464,Early Grade 1,Early Grade 1,Early Grade 1,Grade 3,43,56,04/01/26,94.2,7,1,2,4,No
"CHAVEZ, Joseph",Late Grade 1 (473),473,Grade 3,Early Grade 1,Grade 3,Grade 2,35,53,04/28/26,92.0,2,0,14,1,No
"WALKER, Isaiah",Early K (355),355,Mid K,Mid K,Mid K,Late K,21,28,03/18/26,90.9,8,3,48,4,Yes
"ROMERO, Hudson",Early K (323),323,Late K,Early K,Mid K,Late K,23,39,04/03/26,91.6,8,0,2,3,No
"ROBERTS, Nathan",Mid K (368),368,Emerging K,Emerging Grade 1,Mid K,Late K,37,56,01/02/26,88.4,12,2,25,2,No
"SCOTT, Emilia",Emerging Grade 1 (418),418,Late K,Mid Grade 1,Late K,Mid K,21,30,04/21/26,97.5,10,1,15,4,No
"MARTINEZ, Benjamin",Early K (324),324,Mid K,Emerging K,Late K,Early K,38,45,01/04/26,83.8,10,0,12,3,Yes
"MOORE, Adrian",Mid K (377),377,Emerging Grade 1,Emerging Grade 1,Early K,Mid K,45,56,01/19/26,90.3,11,0,48,3,No
"WILSON, Maya",Early Grade 1 (435),435,Emerging Grade 1,Late Grade 1,Late K,Emerging Grade 1,23,40,02/01/26,92.5,8,0,5,4,No
"ESTRADA, Anna",Late K (396),396,Mid K,Mid K,Mid K,Late K,36,55,04/08/26,94.2,8,0,11,4,No
"RIVERA, Joshua",Mid Grade 1 (450),450,Mid Grade 1,Late Grade 1,Emerging Grade 1,Grade 2,27,38,01/17/26,96.3,8,3,34,4,Yes
"ALVAREZ, Audrey",Mid K (362),362,Emerging K,Early K,Late K,Late K,25,35,06/02/26,92.5,11,0,16,3,No
"CLARK, Aaliyah",Emerging K (289),289,Emerging K,Mid K,Emerging K,Emerging K,45,50,04/17/26,93.4,15,2,37,4,No
"ROMERO, Violet",Grade 2 (491),491,Late Grade 1,Mid Grade 1,Grade 2,Late Grade 1,23,35,06/14/26,95.4,5,0,30,4,No
"THOMPSON, Mateo",Early K (350),350,Early K,Late K,Mid K,Early K,34,45,06/12/26,91.2,10,0,44,4,No
"ORTIZ, Lily",Emerging K (219),219,Early K,Early K,Emerging K,Early K,27,41,05/06/26,89.7,6,1,10,4,No
"SALAZAR, Christopher",Emerging K (319),319,Mid K,Early K,Emerging K,Mid K,35,54,03/01/26,88.0,6,0,20,3,No
"CAMPBELL, Abigail",Grade 4 (534),534,Grade 2,Grade 2,Grade 5,Grade 6,21,39,05/13/26,89.3,7,1,28,4,No
"HILL, Lucas",Grade 2 (494),494,Late Grade 1,Late Grade 1,Grade 2,Grade 2,27,34,01/16/26,92.5,6,0,36,4,No
"CLARK, Emma",Emerging Grade 1 (405),405,Early Grade 1,Late K,Emerging Grade 1,Early Grade 1,42,47,06/03/26,87.6,12,1,18,3,No
"EVANS, Joseph",Early Grade 1 (427),427,Late K,Late Grade 1,Early Grade 1,Late K,36,52,01/04/26,89.1,11,0,23,3,No
"RAMIREZ, Paisley",Early Grade 1 (427),427,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Late Grade 1,23,43,06/25/26,85.0,5,0,47,4,No
"MILLER, Penelope",Grade 4 (537),537,Grade 5,Grade 4,Grade 2,Grade 2,31,47,04/16/26,89.0,7,0,34,4,No
"DELGADO, Asher",Emerging Grade 1 (412),412,Mid K,Late K,Early Grade 1,Mid K,22,39,02/10/26,92.2,9,0,7,4,No
"CHAVEZ, Bella",Grade 4 (537),537,Grade 2,Grade 4,Grade 5,Grade 6,24,44,03/14/26,90.5,8,0,4,1,No
"SCOTT, Victoria",Mid Grade 1 (454),454,Grade 2,Mid Grade 1,Mid Grade 1,Late Grade 1,38,57,04/10/26,86.4,6,0,50,3,No
"WILSON, Brooklyn",Grade 7 (582),582,Grade 6,Grade 7,Grade 7,Grade 8,25,35,06/18/26,94.6,13,1,44,5,No
"RAMOS, Abigail",Mid K (357),357,Mid K,Emerging Grade 1,Early K,Late K,28,44,02/07/26,89.1,9,0,22,2,No
"ADAMS, Savannah",Grade 7 (598),598,Grade 7,Grade 5,Grade 5,Grade 8,35,44,04/11/26,100.0,12,0,32,3,No
"DELGADO, Ryan",Emerging Grade 1 (410),410,Mid Grade 1,Late K,Mid Grade 1,Early Grade 1,30,38,06/16/26,92.3,8,1,19,1,No
"ROJAS, Nova",Emerging Grade 1 (403),403,Emerging Grade 1,Mid K,Mid Grade 1,Late K,38,50,03/07/26,94.7,10,1,42,5,No
"THOMAS, Claire",Early K (341),341,Emerging K,Mid K,Late K,Early K,42,60,03/13/26,87.5,12,0,28,5,No
"MUNOZ, Mia",Late Grade 1 (475),475,Grade 2,Grade 2,Late Grade 1,Mid Grade 1,45,63,06/14/26,95.4,11,0,13,3,No
"WILLIAMS, Skylar",Emerging K (251),251,Early K,Emerging K,Emerging K,Early K,40,53,04/06/26,84.2,9,2,8,3,Yes
"DELGADO, Grayson",Early Grade 1 (422),422,Early Grade 1,Late Grade 1,Early Grade 1,Mid Grade 1,37,56,02/01/26,92.0,7,0,40,5,No
"MORALES, Dylan",Mid Grade 1 (450),450,Late Grade 1,Early Grade 1,Late Grade 1,Early Grade 1,20,28,03/16/26,93.3,8,2,37,4,No
"AGUILAR, Aurora",Mid Grade 1 (456),456,Emerging Grade 1,Mid Grade 1,Grade 2,Grade 2,20,33,02/19/26,94.7,9,3,8,3,Yes
"VARGAS, Mateo",Late K (392),392,Early K,Late K,Late K,Early Grade 1,40,47,05/07/26,90.6,8,0,48,3,No
"SMITH, Penelope",Grade 3 (510),510,Grade 3,Grade 3,Late Grade 1,Grade 5,38,54,02/01/26,95.6,9,1,26,3,No
"DIAZ, Alexander",Early K (353),353,Early K,Early K,Emerging K,Late K,34,41,01/27/26,89.6,11,0,44,3,No
"CARTER, Gabriel",Early Grade 1 (431),431,Emerging Grade 1,Early Grade 1,Late K,Late K,27,36,06/05/26,90.6,6,0,5,3,No
"REYES, Aaliyah",Emerging K (298),298,Early K,Early K,Emerging K,Emerging K,23,29,06/17/26,85.8,9,3,2,2,Yes
"MARTINEZ, Kennedy",Grade 2 (484),484,Grade 4,Late Grade 1,Grade 4,Late Grade 1,25,41,01/03/26,96.4,11,0,37,3,No
"KING, Alexander",Grade 2 (500),500,Late Grade 1,Grade 4,Grade 4,Mid Grade 1,23,28,05/07/26,91.7,0,0,48,4,No
"GOMEZ, Nathan",Grade 5 (557),557,Grade 6,Grade 5,Grade 7,Grade 4,34,42,02/27/26,93.4,9,0,14,3,No
"SMITH, Aaliyah",Early K (328),328,Early K,Late K,Mid K,Mid K,37,43,01/11/26,86.2,10,1,47,3,No
"JACKSON, Christopher",Mid K (369),369,Early K,Emerging K,Late K,Mid K,25,30,06/16/26,88.4,7,1,43,2,No
"THOMAS, Logan",Late K (399),399,Early K,Mid K,Early K,Late K,26,41,02/20/26,92.1,7,0,27,4,No
"MITCHELL, Lily",Mid Grade 1 (453),453,Mid Grade 1,Late Grade 1,Grade 2,Late Grade 1,35,48,02/25/26,90.7,9,1,14,4,No
"HERNANDEZ, Evelyn",Emerging K (113),113,Emerging K,Early K,Mid K,Emerging K,25,42,05/22/26,87.4,13,1,48,2,No
"SCOTT, Christian",Grade 2 (495),495,Late Grade 1,Grade 2,Grade 3,Grade 3,36,49,05/11/26,94.8,4,0,48,1,No
"MORALES, Aurora",Late K (391),391,Emerging Grade 1,Emerging Grade 1,Emerging Grade 1,Early K,21,31,05/22/26,92.0,7,2,31,3,No
"TAYLOR, Zoey",Emerging Grade 1 (404),404,Mid Grade 1,Early Grade 1,Mid Grade 1,Mid Grade 1,38,58,04/18/26,93.2,6,0,31,4,No
"EVANS, Grayson",Late Grade 1 (470),470,Late Grade 1,Early Grade 1,Early Grade 1,Grade 3,21,30,03/12/26,94.3,4,2,40,3,No
"LEE, Elijah",Late K (392),392,Emerging Grade 1,Late K,Early K,Mid K,27,39,06/10/26,84.9,6,0,19,2,Yes
"RODRIGUEZ, Ella",Early Grade 1 (422),422,Mid Grade 1,Mid Grade 1,Late Grade 1,Late Grade 1,33,46,01/23/26,91.0,9,0,36,3,No
"GOMEZ, Everly",Grade 3 (504),504,Grade 2,Grade 3,Grade 4,Grade 5,45,60,02/20/26,91.6,15,0,40,5,No
"BAKER, Isabella",Early K (337),337,Emerging K,Mid K,Late K,Early K,39,46,06/28/26,85.7,8,0,36,5,No
"LEE, Dylan",Early K (325),325,Mid K,Mid K,Late K,Mid K,26,44,04/09/26,86.9,8,2,11,5,No
"SCOTT, Ezra",Grade 4 (539),539,Grade 5,Grade 3,Grade 5,Grade 4,40,58,05/24/26,92.1,4,0,9,3,No
"NUNEZ, Naomi",Grade 3 (514),514,Grade 3,Late Grade 1,Grade 2,Grade 4,28,42,06/06/26,93.8,11,0,7,2,No
"MENDOZA, Emma",Grade 2 (490),490,Grade 3,Grade 3,Grade 4,Grade 3,33,39,02/06/26,93.3,8,1,17,4,No
"GONZALEZ, Jackson",Grade 6 (576),576,Grade 4,Grade 4,Grade 4,Grade 6,39,53,01/14/26,99.4,3,2,25,5,No
"ORTIZ, Nathan",Mid K (374),374,Emerging Grade 1,Emerging K,Emerging Grade 1,Emerging Grade 1,44,57,04/03/26,89.9,11,2,21,5,No
"TAYLOR, Adrian",Grade 3 (508),508,Grade 4,Grade 2,Grade 2,Late Grade 1,25,36,03/15/26,89.0,10,0,34,3,No
"SMITH, James",Early Grade 1 (436),436,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Early Grade 1,35,51,03/01/26,87.6,3,0,47,4,No
"GUERRERO, Mateo",Mid K (368),368,Mid K,Mid K,Emerging K,Emerging Grade 1,27,46,04/01/26,92.3,8,5,16,3,Yes
"GUERRERO, Christian",Mid K (361),361,Late K,Mid K,Late K,Emerging K,28,35,04/16/26,89.2,3,0,27,5,No
"RAMOS, Elijah",Late Grade 1 (477),477,Early Grade 1,Late Grade 1,Grade 2,Grade 3,43,58,04/23/26,93.8,8,1,40,3,No
"ORTIZ, Hudson",Emerging K (151),151,Mid K,Early K,Early K,Mid K,22,30,02/08/26,80.7,10,2,48,2,Yes
"JACKSON, Thomas",Grade 2 (491),491,Grade 3,Grade 3,Late Grade 1,Grade 2,25,40,03/07/26,95.9,9,0,24,5,No
"ROJAS, Everly",Emerging K (105),105,Mid K,Mid K,Mid K,Mid K,27,34,04/07/26,88.2,16,0,39,3,No
"CHAVEZ, Aria",Emerging K (194),194,Emerging K,Mid K,Emerging K,Emerging K,42,60,04/27/26,87.9,9,2,12,5,No
"ESTRADA, Joseph",Grade 2 (493),493,Late Grade 1,Grade 3,Late Grade 1,Grade 4,26,40,06/22/26,94.1,9,1,1,3,No
"GUERRERO, Aria",Mid Grade 1 (448),448,Mid Grade 1,Grade 2,Late Grade 1,Emerging Grade 1,20,40,02/28/26,90.2,12,2,45,3,No
"CARTER, Theodore",Mid K (359),359,Emerging Grade 1,Emerging K,Emerging K,Mid K,27,47,03/20/26,97.1,7,1,47,5,No
"MEDINA, Aiden",Emerging Grade 1 (413),413,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Late K,37,43,05/06/26,90.8,13,4,29,2,Yes
"GREEN, David",Emerging Grade 1 (409),409,Mid K,Emerging Grade 1,Mid K,Late K,35,48,06/12/26,93.2,8,3,39,5,Yes
"SCOTT, Aria",Mid K (361),361,Mid K,Late K,Early K,Emerging Grade 1,41,60,01/07/26,91.1,12,0,16,2,No
"THOMPSON, Audrey",Emerging K (226),226,Emerging K,Early K,Early K,Mid K,37,57,04/16/26,92.2,14,0,22,2,No
"WRIGHT, Ella",Grade 3 (519),519,Grade 5,Grade 2,Grade 5,Late Grade 1,36,46,04/03/26,94.1,11,0,21,1,No
"MORALES, Samantha",Late K (399),399,Early K,Late K,Mid K,Early K,22,41,06/22/26,86.2,10,0,42,1,No
"TURNER, Olivia",Grade 6 (571),571,Grade 8,Grade 5,Grade 5,Grade 4,45,59,03/26/26,96.9,6,3,24,2,Yes
"CASTILLO, Henry",Mid K (380),380,Late K,Emerging K,Emerging K,Early K,25,42,04/10/26,85.3,4,0,19,4,No
"HERRERA, Aurora",Grade 4 (540),540,Grade 3,Grade 4,Grade 2,Grade 4,36,47,04/15/26,97.2,4,0,27,2,No
"WILSON, Theodore",Mid Grade 1 (454),454,Late Grade 1,Emerging Grade 1,Emerging Grade 1,Grade 2,30,49,06/08/26,89.4,4,4,33,4,Yes
"FLORES, Skylar",Mid K (369),369,Emerging K,Late K,Mid K,Early K,24,38,02/17/26,86.3,12,1,2,4,No
"LEE, Claire",Late K (395),395,Early Grade 1,Late K,Late K,Late K,38,45,05/01/26,93.7,12,0,11,5,No
"FLORES, Olivia",Late K (390),390,Late K,Early Grade 1,Emerging Grade 1,Emerging Grade 1,39,52,03/28/26,91.2,7,0,38,3,No
"DIAZ, Caleb",Emerging Grade 1 (401),401,Mid K,Early Grade 1,Mid K,Mid K,25,45,04/23/26,87.4,11,2,46,4,No
"EVANS, Nova",Late K (393),393,Late K,Early K,Mid K,Mid K,20,31,01/27/26,98.3,10,3,13,4,Yes
"GUERRERO, Logan",Emerging Grade 1 (418),418,Late K,Mid K,Emerging Grade 1,Early Grade 1,24,44,04/01/26,95.8,13,2,28,5,No
"RODRIGUEZ, Dylan",Grade 4 (539),539,Grade 3,Grade 3,Grade 4,Grade 6,32,38,03/01/26,99.3,10,0,26,5,No
"MITCHELL, Adrian",Mid Grade 1 (458),458,Mid Grade 1,Emerging Grade 1,Late Grade 1,Late Grade 1,35,55,02/23/26,92.7,8,1,35,2,No
"MARTIN, Hudson",Grade 4 (524),524,Grade 5,Grade 6,Grade 4,Grade 5,42,60,01/06/26,94.1,9,0,14,4,No
"BROWN, Anna",Grade 5 (555),555,Grade 4,Grade 5,Grade 6,Grade 6,41,57,04/26/26,97.0,6,0,44,4,No
"WALKER, Kennedy",Early K (333),333,Early K,Late K,Emerging K,Late K,35,49,02/07/26,78.5,6,0,16,3,Yes
"CASTILLO, Alexander",Grade 3 (517),517,Late Grade 1,Late Grade 1,Grade 3,Grade 4,23,35,01/18/26,94.4,9,0,22,4,No
"HILL, Maverick",Mid K (360),360,Emerging Grade 1,Emerging Grade 1,Emerging K,Emerging K,34,53,01/04/26,90.6,6,3,6,5,Yes
"KING, Olivia",Emerging K (261),261,Emerging K,Emerging K,Early K,Emerging K,43,57,06/15/26,88.9,7,3,9,4,Yes
"ORTIZ, Carter",Early K (333),333,Late K,Late K,Emerging K,Early K,45,65,03/10/26,87.9,10,0,48,3,No
"MENDOZA, Ezra",Early K (354),354,Late K,Early K,Early K,Late K,33,51,04/28/26,84.7,10,4,28,2,Yes
"SCOTT, Sofia",Grade 6 (563),563,Grade 6,Grade 6,Grade 7,Grade 5,33,39,04/25/26,100.0,7,0,36,2,No
"MARTIN, Aubrey",Late K (398),398,Late K,Late K,Late K,Early K,28,37,06/13/26,88.5,10,1,50,4,No
"JONES, Gabriel",Grade 4 (533),533,Grade 3,Grade 4,Grade 2,Grade 2,37,52,04/24/26,93.4,1,0,34,3,No
"WRIGHT, Mia",Early Grade 1 (437),437,Early Grade 1,Emerging Grade 1,Late K,Late K,45,58,02/27/26,92.3,4,5,7,4,Yes
"AGUILAR, Camila",Mid Grade 1 (452),452,Emerging Grade 1,Emerging Grade 1,Emerging Grade 1,Late Grade 1,29,34,04/11/26,97.6,8,5,36,4,Yes
"BAKER, Ezra",Grade 3 (508),508,Grade 3,Grade 3,Grade 3,Grade 5,41,50,06/13/26,91.8,7,0,37,3,No
"GOMEZ, Anthony",Early K (348),348,Late K,Emerging K,Emerging K,Emerging K,33,42,04/07/26,86.5,11,1,37,4,No
"THOMAS, Elena",Grade 4 (539),539,Grade 5,Grade 5,Grade 5,Grade 5,43,61,02/05/26,91.1,6,0,45,4,No
"MORALES, Skylar",Late Grade 1 (475),475,Grade 2,Early Grade 1,Mid Grade 1,Grade 3,31,39,05/28/26,91.5,9,1,2,4,No
"WILSON, Zoey",Mid K (371),371,Emerging K,Early K,Early K,Emerging Grade 1,33,39,03/10/26,91.0,15,1,7,4,No
"GONZALEZ, Ethan",Late K (399),399,Late K,Early Grade 1,Emerging Grade 1,Late K,45,62,04/27/26,89.6,5,2,32,4,No
"HARRIS, Aaliyah",Late Grade 1 (465),465,Late Grade 1,Early Grade 1,Grade 3,Grade 3,33,50,02/13/26,92.3,9,2,28,4,No
"RIVERA, Hudson",Grade 4 (521),521,Grade 6,Grade 4,Grade 6,Grade 2,40,47,02/20/26,89.7,5,3,33,3,Yes
"KING, Dylan",Grade 4 (524),524,Grade 6,Grade 3,Grade 2,Grade 4,45,56,02/27/26,92.9,1,0,34,4,No
"ROBERTS, Ellie",Emerging K (320),320,Emerging K,Early K,Early K,Emerging K,33,38,05/11/26,87.6,11,5,34,3,Yes
"JIMENEZ, Logan",Mid K (358),358,Early K,Mid K,Late K,Early K,21,36,02/01/26,89.2,7,0,9,3,No
"AGUILAR, Penelope",Late K (384),384,Early K,Mid K,Mid K,Early Grade 1,38,50,04/17/26,90.4,6,0,3,3,No
"WALKER, Ethan",Emerging K (262),262,Emerging K,Emerging K,Early K,Mid K,38,46,02/25/26,83.6,9,0,26,4,Yes
"GUTIERREZ, Jack",Late K (386),386,Mid K,Early Grade 1,Emerging Grade 1,Early Grade 1,34,40,01/27/26,84.9,11,0,10,1,Yes
"VARGAS, Brooklyn",Mid Grade 1 (453),453,Mid Grade 1,Early Grade 1,Grade 2,Grade 2,29,35,02/24/26,91.1,8,0,44,2,No
"HILL, Evelyn",Grade 8 (614),614,Grade 6,Grade 8,Grade 8,Grade 7,41,56,06/09/26,100.0,4,0,42,5,No
"ALVAREZ, Layla",Emerging Grade 1 (420),420,Emerging Grade 1,Mid K,Late K,Mid K,39,59,01/01/26,89.6,6,3,45,4,Yes
"BAKER, Isaac",Emerging K (266),266,Mid K,Emerging K,Mid K,Emerging K,41,60,06/04/26,85.3,15,2,22,3,No
"MARTINEZ, Maverick",Early K (344),344,Early K,Late K,Emerging K,Early K,43,48,03/22/26,91.7,9,0,39,4,No
"ROJAS, Willow",Mid K (371),371,Mid K,Emerging K,Mid K,Late K,42,53,01/07/26,94.1,9,0,17,4,No
"VASQUEZ, Bella",Early Grade 1 (439),439,Late Grade 1,Late Grade 1,Emerging Grade 1,Late K,38,47,06/03/26,96.5,14,3,33,4,Yes
"MORENO, Lily",Grade 3 (501),501,Grade 5,Grade 5,Grade 3,Grade 5,34,39,04/21/26,92.0,3,2,20,3,No
"CONTRERAS, Jayden",Early K (354),354,Late K,Late K,Mid K,Emerging K,43,55,01/09/26,92.4,8,0,25,3,No
"CAMPBELL, Lucas",Grade 3 (508),508,Grade 4,Late Grade 1,Grade 2,Grade 2,25,40,03/03/26,93.0,6,0,1,4,No
"MENDOZA, Henry",Emerging K (161),161,Early K,Emerging K,Early K,Mid K,45,57,01/25/26,86.0,9,0,28,4,No
"SANCHEZ, Lucas",Grade 5 (553),553,Grade 5,Grade 3,Grade 4,Grade 3,45,64,01/10/26,92.8,4,0,3,4,No
"ANDERSON, Aubrey",Late K (400),400,Emerging Grade 1,Mid K,Early Grade 1,Early Grade 1,20,39,04/15/26,92.1,3,1,21,4,No
"HERNANDEZ, Caleb",Emerging Grade 1 (411),411,Mid Grade 1,Late K,Mid K,Mid K,20,27,05/26/26,94.5,4,0,32,3,No
"WALKER, Violet",Late Grade 1 (475),475,Mid Grade 1,Mid Grade 1,Mid Grade 1,Early Grade 1,21,30,03/19/26,85.8,11,2,19,4,No
"GUTIERREZ, Lucy",Early K (340),340,Mid K,Mid K,Mid K,Emerging K,36,45,01/08/26,83.5,10,3,27,3,Yes
"ROMERO, Grace",Grade 2 (491),491,Late Grade 1,Grade 3,Grade 3,Grade 4,42,57,05/19/26,97.4,6,0,10,2,No
"ALLEN, Olivia",Early K (321),321,Early K,Early K,Late K,Early K,27,47,06/25/26,91.8,9,2,13,3,No
"DAVIS, Aiden",Emerging K (191),191,Emerging K,Mid K,Emerging K,Emerging K,29,48,02/21/26,84.2,8,0,1,3,Yes
"CASTILLO, Wyatt",Early K (337),337,Early K,Mid K,Early K,Early K,26,31,02/27/26,89.1,12,2,8,3,No
"BROWN, James",Grade 5 (550),550,Grade 6,Grade 4,Grade 5,Grade 5,41,51,05/26/26,100.0,6,2,4,2,No
"MORENO, Benjamin",Early K (345),345,Mid K,Mid K,Late K,Early K,21,32,05/10/26,89.9,8,0,50,3,No
"WRIGHT, Benjamin",Grade 7 (596),596,Grade 6,Grade 5,Grade 8,Grade 5,25,42,06/25/26,92.9,5,0,20,4,No
"WALKER, Skylar",Late Grade 1 (476),476,Grade 2,Late Grade 1,Grade 3,Grade 2,40,46,02/08/26,95.4,6,0,13,3,No
"CAMPBELL, Grayson",Early K (344),344,Mid K,Emerging K,Early K,Emerging K,29,48,05/12/26,89.3,11,1,21,3,No
"WILSON, Jayden",Grade 3 (511),511,Grade 3,Grade 4,Late Grade 1,Grade 2,34,46,03/21/26,99.7,10,0,32,4,No
"FLORES, Hudson",Grade 2 (488),488,Mid Grade 1,Mid Grade 1,Mid Grade 1,Grade 2,21,32,03/07/26,92.4,5,1,49,4,No
"PHILLIPS, Ryan",Grade 8 (618),618,Grade 7,Grade 6,Grade 7,Grade 7,31,48,04/27/26,93.2,3,0,32,5,No
"THOMAS, Abigail",Mid K (379),379,Early K,Late K,Early K,Emerging Grade 1,38,57,06/27/26,84.6,11,0,12,3,Yes
"MARTIN, Maya",Early K (349),349,Emerging K,Mid K,Early K,Early K,29,34,04/26/26,87.7,8,0,27,4,No
"BAKER, Ellie",Mid K (374),374,Emerging K,Emerging Grade 1,Emerging K,Early K,24,39,05/21/26,91.8,3,1,25,5,No
"THOMAS, Jack",Emerging K (198),198,Emerging K,Early K,Emerging K,Early K,38,57,06/10/26,89.8,11,1,2,5,No
"YOUNG, Caroline",Emerging K (150),150,Emerging K,Early K,Early K,Emerging K,27,41,06/17/26,89.5,11,1,10,3,No
"THOMAS, Jayden",Early K (328),328,Early K,Late K,Late K,Emerging K,32,43,02/28/26,90.1,13,2,30,2,No
"HERRERA, Everly",Early Grade 1 (437),437,Mid Grade 1,Early Grade 1,Emerging Grade 1,Late K,24,43,01/27/26,87.2,12,1,36,5,No
"LEWIS, Anthony",Early Grade 1 (423),423,Early Grade 1,Mid Grade 1,Early Grade 1,Early Grade 1,32,42,04/08/26,93.4,12,1,24,5,No
"RAMIREZ, Scarlett",Emerging K (278),278,Emerging K,Emerging K,Emerging K,Early K,40,54,06/03/26,87.1,6,0,31,3,No
"NELSON, Aaliyah",Early K (344),344,Emerging K,Emerging K,Mid K,Late K,34,44,03/07/26,85.9,10,0,44,4,No
"ANDERSON, Audrey",Late K (393),393,Mid K,Emerging Grade 1,Early K,Early K,28,36,06/05/26,88.1,14,1,4,2,No
"MENDOZA, Charles",Late Grade 1 (475),475,Mid Grade 1,Grade 2,Late Grade 1,Mid Grade 1,25,30,05/04/26,93.5,9,2,10,2,No
"MARTINEZ, Aaliyah",Late Grade 1 (465),465,Grade 2,Late Grade 1,Mid Grade 1,Mid Grade 1,42,48,06/18/26,93.8,12,3,33,4,Yes
"DIAZ, Willow",Late K (390),390,Emerging Grade 1,Early K,Early Grade 1,Early K,21,38,02/08/26,88.8,11,0,26,1,No
"BROWN, Sofia",Grade 3 (503),503,Grade 2,Late Grade 1,Grade 2,Grade 2,21,39,05/04/26,95.1,5,0,39,3,No
"THOMAS, Lucy",Grade 5 (544),544,Grade 4,Grade 4,Grade 3,Grade 5,30,40,01/13/26,94.9,6,0,14,2,No
"TURNER, Lily",Late K (383),383,Mid K,Emerging Grade 1,Late K,Early Grade 1,35,43,06/18/26,92.1,3,1,16,5,No
"JOHNSON, Thomas",Grade 7 (593),593,Grade 6,Grade 7,Grade 6,Grade 7,41,61,01/11/26,100.0,6,0,32,4,No
"KING, Victoria",Early Grade 1 (421),421,Emerging Grade 1,Late K,Late Grade 1,Late K,29,41,06/14/26,91.8,4,0,23,4,No
"CHAVEZ, Grace",Late K (382),382,Mid K,Early Grade 1,Emerging Grade 1,Late K,24,37,03/21/26,90.6,9,2,26,4,No
"WILLIAMS, Victoria",Late K (387),387,Early Grade 1,Early K,Mid K,Mid K,39,56,05/11/26,92.1,13,0,31,2,No
"GUTIERREZ, Genesis",Grade 5 (545),545,Grade 3,Grade 4,Grade 7,Grade 7,45,56,02/17/26,99.5,8,0,46,3,No
"CASTILLO, Theodore",Mid Grade 1 (450),450,Mid Grade 1,Grade 2,Late Grade 1,Early Grade 1,28,48,01/12/26,90.7,9,1,32,4,No
"CHAVEZ, Aurora",Grade 3 (516),516,Late Grade 1,Grade 4,Grade 4,Late Grade 1,44,58,05/18/26,96.8,11,0,29,3,No
"ANDERSON, Wyatt",Early Grade 1 (436),436,Late K,Early Grade 1,Emerging Grade 1,Mid Grade 1,26,35,02/01/26,95.1,9,2,31,3,No
"THOMAS, Violet",Grade 7 (592),592,Grade 8,Grade 8,Grade 7,Grade 5,33,39,01/13/26,98.0,5,1,16,4,No
"YOUNG, Claire",Mid Grade 1 (452),452,Emerging Grade 1,Late Grade 1,Late Grade 1,Early Grade 1,27,47,01/27/26,89.2,12,0,42,4,No
"PHILLIPS, Aria",Emerging Grade 1 (405),405,Emerging Grade 1,Late K,Mid Grade 1,Mid Grade 1,41,51,01/04/26,91.6,5,4,25,4,Yes
